iso3_code,country_name,base_che,shock_che,base_oops,shock_oops,base_gghed,shock_gghed,che_delta_pct,oops_delta_pp,gghed_delta_pp
HUN,Hungary,12606822810.237137,14496979288.917776,27.78665929739955,24.93377415947857,68.32543945,71.79095204666666,14.99312322487608,-2.8528851379209783,3.465512596666656
IDN,Indonesia,35131668208.75727,40662216799.20989,34.55001228455235,30.442153089151827,48.56188965,55.44821675666667,15.742345503177733,-4.1078591954005255,6.88632710666667
IND,India,88681006806.3178,103952382805.92444,52.00421050753484,46.38714280006109,35.066108699999994,39.0162646,17.220571292069142,-5.617067707473751,3.9501559000000057
IRL,Ireland,28548889094.107937,33994957878.313686,12.656584651627009,11.504055228922446,73.82551575,76.93350728333333,19.076289680671803,-1.1525294227045624,3.1079915333333332
IRN,Iran (Islamic Republic of),21224858213.973965,18956133953.214676,39.13536027069049,40.230932110909464,44.1107254,47.83054479333333,-10.68899607190597,1.0955718402189731,3.7198193933333314
IRQ,Iraq,11828972712.142715,12868319914.321894,50.096962558773264,52.554376628461334,49.36284256,46.71235402333333,8.786453629335574,2.4574140696880704,-2.650488536666664
ISL,Iceland,2414781165.635887,2622949711.5825024,15.425638485174122,14.362456905837647,82.92933654999999,83.96872457,8.620596719446333,-1.0631815793364758,1.0393880200000183
ISR,Israel,31830124584.35099,35483344480.79991,21.35632742288074,20.863066104246442,64.81515503,67.14542643333333,11.477240331773617,-0.49326131863429623,2.3302714033333274
ITA,Italy,189454010333.1567,198933618585.84982,23.87487373493666,22.539443344095776,73.24338531000001,74.68731689333333,5.003646128167534,-1.3354303908408838,1.443931583333324
JAM,Jamaica,1330721048.823741,1454535730.932607,26.892485733256688,21.807736156144614,57.086463929999994,64.30768331,9.304330326653282,-5.084749577112074,7.221219380000008
JOR,Jordan,3337466680.8780336,3692797686.5370507,36.00002781605146,35.70435099717918,42.94781876,44.22866567,10.646728181434167,-0.2956768188722734,1.280846910000001
JPN,Japan,458461482811.3375,489011582907.8228,12.901772064284804,11.175478055300658,83.96395111,85.89386240333333,6.663613246013303,-1.726294008984146,1.9299112933333333
KAZ,Kazakhstan,6637443283.166784,9192371100.028267,33.863827732237056,27.867808148486105,59.93826294,64.1994222,38.49265007417891,-5.99601958375095,4.2611592599999994
