iso3_code,continent,y_2023,y_2000,log_start,log_end,growth
LCA,Americas,641.0731818674798,522.8218015124909,6.259240682319933,6.463143618683968,0.00886534505930585
VCT,Americas,469.2048033406915,234.70134158912052,5.458313819027775,6.151039354025921,0.03011850152165854
WSM,Oceania,292.81084342006983,139.93249245249558,4.941160109547168,5.679526814939922,0.03210290023446757
SMR,Europe,3908.7493276366495,3723.072658026052,8.222304589671015,8.270972736757107,0.002116006395047474
STP,Africa,171.0520420568734,193.3485863460203,5.264494706653525,5.141967849714663,-0.005327254649515729
SAU,Asia,1801.5097945623456,1266.559887949447,7.144059754505729,7.496380367066149,0.015318287502626952
SEN,Africa,73.22671021116003,43.132962880612425,3.7642875048134106,4.293560248004871,0.02301185839962872
SRB,Europe,986.3692384953188,307.7268820954851,5.7292126431381405,6.894030765734613,0.050644266199846646
SYC,Africa,818.6060744439177,560.6003930629604,6.3290083398773564,6.707602984558401,0.01646063672526279
SLE,Africa,35.76204760663802,19.332536036722363,2.961789481548061,3.5768872083594965,0.02674337942658415
SGP,Asia,3836.4071581465473,1505.7796657909853,7.3170660934006735,8.252291571701953,0.04066197731744693
SVK,Europe,1814.1518910630132,607.9147851907207,6.410034716207091,7.503373359839495,0.04753646276662624
SVN,Europe,3032.766159247559,1608.6261506142662,7.383135771091693,8.017230405885966,0.0275693319475771
SLB,Oceania,111.35539551823723,94.23392045656624,4.54578020653802,4.71272684801429,0.00725854962940303
ZAF,Africa,536.5884663830743,361.39767506398414,5.889978944999594,6.285231443878817,0.01718489125561837
ESP,Europe,3089.454920439139,1923.2806207776835,7.561787663583773,8.035749953178895,0.020607056069353143
LKA,Asia,139.9296850334704,77.52738680691189,4.350631252089649,4.94114004667872,0.02567429541691616
SDN,Africa,21.083081668908587,43.3016489924448,3.768190717249699,3.0484709022157204,-0.03129216587104255
SUR,Americas,297.04589992347593,272.62863331335524,5.608110551579637,5.69388667205871,0.003729396542568392
SWE,Europe,6197.350222906237,3100.6885054263703,8.039379464337648,8.731877096276648,0.030108592693000008
CHE,Europe,11759.462119240816,7522.532023825404,8.92565806556731,9.372413482246802,0.019424148551282272
SYR,Asia,33.34018051543998,99.36981561118584,4.598848401663266,3.506763291688314,-0.047481961303258775
TJK,Asia,85.1470220891266,15.284605954745212,2.7268461751442965,4.444379433967803,0.07467535907928288
THA,Asia,326.5048264918474,122.35129530235476,4.806896376692916,5.788444731124369,0.04267601541006318
TGO,Africa,59.60504069573906,23.890477197714898,3.1734799359274626,4.087740145926867,0.03975044391301759
TON,Oceania,357.5458650901014,115.56798856840854,4.749859002391905,5.8792636478634215,0.0491045498031094
TTO,Americas,1402.7325662090955,520.2430234609379,6.254296055209659,7.246177446258783,0.04312527787170104
TUN,Africa,317.70985027154427,137.84115542836042,4.926101974572531,5.761138545741457,0.036305937876909826
TKM,Asia,581.3822171374688,141.79220441110797,4.954362636642563,6.365408401378143,0.06134981585806867
TUV,Oceania,1723.4775357315727,927.2302158277599,6.832201879747101,7.452099351773671,0.026952064001155206
TUR,Asia,560.2989548460714,259.1346404550912,5.557347773942685,6.328470489222491,0.033527074577382875
UGA,Africa,45.21318383077055,27.891054224442435,3.3283060002954903,3.8113887219804377,0.02100359659499771
ARE,Asia,2437.7888333869614,1529.6595627471045,7.332800481619473,7.798846691600432,0.020262878694824314
GBR,Europe,5407.80206593909,2895.938225549218,7.971064422321337,8.595598016819839,0.02715363454341311
TZA,Africa,36.256199410898176,19.352994114944853,2.962847142128097,3.590610384910407,0.02729405403401348
USA,Americas,13740.056073962598,7629.440917130859,8.939769847299035,9.528070646842437,0.025578295632321845
URY,Americas,2076.09394213126,1274.7257501801028,7.150486336557697,7.638243494770275,0.021206832965764238
UZB,Asia,192.11869145492778,50.51716689741538,3.9223132170779724,5.258113365691437,0.05807826733102019
VUT,Oceania,143.43730464022653,119.7295136421075,4.785235145598289,4.9658980382685876,0.007854908376969498
VNM,Asia,197.19210379819626,55.87799778731714,4.023170703169113,5.284178399775552,0.05482642159158432
YEM,Asia,47.78109677445766,56.59427987212662,4.035907917772078,3.8666300963110123,-0.007359905280915892
ZMB,Africa,79.55635126834122,33.1443594994121,3.5008725513072765,4.376465591550763,0.03806926261928201
PSE,Asia,361.96910476162816,259.04587187955843,5.557005157521234,5.891558862221244,0.014545813247826523
